STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-21,,,0.00,0.0,0.0,76,58,65,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-22,,,0.00,0.0,0.0,78,54,64,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-23,,,0.00,0.0,0.0,65,52,55,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-24,,,0.00,0.0,0.0,70,53,56,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-25,,,0.37,0.0,0.0,74,37,38,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-26,,,0.00,0.0,0.0,48,25,27,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-27,,,0.00,0.0,0.0,53,24,28,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-28,,,0.00,0.0,0.0,62,28,50,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-29,,,0.11,0.0,0.0,62,50,61,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-30,,,0.01,0.0,0.0,71,49,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2010-12-31,,,0.00,0.0,0.0,78,57,60,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-01,,,0.00,0.0,0.0,67,46,47,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-02,,,0.00,0.0,0.0,61,30,32,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-03,,,0.00,0.0,0.0,59,32,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-04,,,0.00,0.0,0.0,57,43,54,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-05,,,0.07,0.0,0.0,57,53,55,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-06,,,0.00,0.0,0.0,73,34,37,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-07,,,0.00,0.0,0.0,71,33,40,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-08,,,0.00,0.0,0.0,75,40,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-09,,,1.42,0.0,0.0,65,42,43,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-10,,,0.02,0.0,0.0,51,40,40,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-11,,,0.01,0.0,0.0,42,34,34,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-12,,,0.00,0.0,0.0,45,32,33,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-13,,,0.00,0.0,0.0,39,32,34,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-14,,,0.00,0.0,0.0,41,34,38,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-15,,,0.46,0.0,0.0,50,38,48,
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",2011-01-16,,,1.09,0.0,0.0,51,47,50,
